time,open,high,low,close,volume
1730289600000,19.474,19.826,19.3,19.667,282222.8
1730304000000,19.667,19.73,19.438,19.476,88882.8
1730318400000,19.476,19.669,19.385,19.454,78345.6
1730332800000,19.454,19.528,19.218,19.407,78735.8
1730347200000,19.407,19.431,19.2,19.277,57991.3
1730361600000,19.277,19.28,19.052,19.159,122670.3
1730376000000,19.159,19.349,18.7,18.769,269291.7
1730390400000,18.769,18.811,18.403,18.457,172467.8
1730404800000,18.457,18.657,18.382,18.593,54699.6
1730419200000,18.593,18.695,18.256,18.552,91605.8
1730433600000,18.552,18.612,18.171,18.318,62616.8
1730448000000,18.318,18.512,18.278,18.446,40219.1
1730462400000,18.446,19.028,18.341,18.482,235127.5
1730476800000,18.482,18.749,18.403,18.502,89505.4
1730491200000,18.502,18.612,18.254,18.459,63439.8
1730505600000,18.459,18.622,18.437,18.474,32332.5
1730520000000,18.474,18.518,18.392,18.502,28259.7
1730534400000,18.502,18.529,18.281,18.306,24816.4
1730548800000,18.306,18.334,17.953,18.098,114523.5
1730563200000,18.098,18.187,17.988,18.099,32216.1
1730577600000,18.099,18.187,18.024,18.112,20040.6
1730592000000,18.112,18.159,17.603,17.871,143952.1
1730606400000,17.871,17.99,17.816,17.878,71778.6
1730620800000,17.878,17.926,17.782,17.811,53113.3
1730635200000,17.811,17.851,17.357,17.615,170468.9
1730649600000,17.615,17.814,17.478,17.78,95129.5
1730664000000,17.78,17.95,17.618,17.772,103028.4
1730678400000,17.772,17.98,17.613,17.807,78258.7
1730692800000,17.807,17.889,17.679,17.684,49245.8
1730707200000,17.684,17.925,17.635,17.847,55838.5
1730721600000,17.847,17.972,17.69,17.744,57714.6
1730736000000,17.744,17.895,17.597,17.8,74676.6
1730750400000,17.8,17.827,17.262,17.586,189694.6
1730764800000,17.586,17.848,17.503,17.845,77519.5
1730779200000,17.845,17.986,17.83,17.96,52521.7
1730793600000,17.96,18.036,17.901,18.003,52825.5
1730808000000,18.003,18.28,17.93,18.07,104421.7
1730822400000,18.07,18.309,17.917,17.972,73996.1
1730836800000,17.972,18.29,17.918,18.218,77736.3
1730851200000,18.218,19.398,18.215,19.145,351869.0
1730865600000,19.145,19.402,19.016,19.134,242094.1
1730880000000,19.134,19.236,18.795,19.193,127334.9
1730894400000,19.193,19.281,18.894,19.055,147377.2
1730908800000,19.055,19.237,19.0,19.214,94622.7
1730923200000,19.214,19.77,19.161,19.685,213531.3
1730937600000,19.685,20.725,19.515,20.376,577836.4
1730952000000,20.376,20.425,19.874,20.077,240940.9
1730966400000,20.077,20.221,19.841,19.887,83054.0
1730980800000,19.887,20.05,19.618,20.013,175548.9
1730995200000,20.013,20.148,19.866,20.094,195597.2
1731009600000,20.094,20.315,20.013,20.262,133554.0
1731024000000,20.262,20.564,19.895,20.009,302573.5
1731038400000,20.009,20.291,19.981,20.215,103436.1
1731052800000,20.215,20.337,20.037,20.222,108385.2
1731067200000,20.222,20.462,20.023,20.165,284548.3
1731081600000,20.165,20.341,19.767,20.235,183012.8
1731096000000,20.235,20.464,20.031,20.459,114786.5
1731110400000,20.459,20.527,20.14,20.152,133876.7
1731124800000,20.152,21.399,20.15,20.79,320915.9
1731139200000,20.79,21.062,20.634,20.931,187017.7
1731153600000,20.931,20.962,20.446,20.572,150917.7
1731168000000,20.572,20.834,20.313,20.72,97942.4
1731182400000,20.72,22.188,20.675,21.777,520308.5
1731196800000,21.777,22.465,21.27,22.184,592116.5
1731211200000,22.184,23.166,22.17,22.957,711391.4
1731225600000,22.957,23.411,22.847,23.303,287731.8
1731240000000,23.303,23.596,22.563,23.269,566621.2
1731254400000,23.269,24.199,23.054,23.363,498821.1
1731268800000,23.363,23.477,21.973,23.039,540119.2
1731283200000,23.039,23.569,22.847,23.419,347122.8
1731297600000,23.419,23.432,22.241,22.574,369626.1
1731312000000,22.574,22.976,22.514,22.95,205397.9
1731326400000,22.95,23.476,22.367,23.162,544637.2
1731340800000,23.162,23.548,23.067,23.323,357086.4
1731355200000,23.323,24.493,23.075,24.4,636190.9
1731369600000,24.4,24.447,23.273,23.46,582605.0
1731384000000,23.46,23.613,22.58,23.551,733065.1
1731398400000,23.551,24.631,21.907,22.678,1546785.0
1731412800000,22.678,22.938,21.832,22.583,608967.7
